data_provider,use_case,logo,data_category
37AUSTEN,"Hedge Fund Management,Predictive Maintenance",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/37austen_a51d772147803423.png,"Legal and IP Data,Trade Data,Stock & Market Data,Economic Data"
40Geo,Smart Ship,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/40geo_618bcfa7f4f87b4f.png,Satellite Data
505 Economics,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/505-economics_ce57c072ff61b3d5.png,"Environmental Data,Economic Data"
90 West Data,"Portfolio Management,Trend Forecasting,Persona Detection/Segmentation",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/90-west-data_56bff769e1caa378.png,"Retail & Commerce Data,Individual Data,Economic Data,Tourism Data,Hospitality Industry Data,Consumer Lifestyle Data,Energy Data"
A2A,"Behavioral Targeting,Targeted Marketing,Mobile App Development",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/a2a_6431b75e889a4c84.png,GPS Data
Above Data,"Hedge Fund Management,Competitor Analysis,Trend Forecasting,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/above-data_8ac9c4e8dc4923e2.jpeg,"Individual Data,TV Streaming Rating Data,Economic Data,Automotive Industry Data,Company Data,App Data,B2B Intent Data,,B2B Data,Sports & Entertainment Data,Retail & Commerce Data,Employment Data,Environmental Data,Social Data,Commodity Market Data"
Accutrend,"Portfolio Management,B2B Credit Risk,Account-Based Marketing,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/accutrend-data.jpg,"Commodity Market Data,,Business Credit Rating Data,B2B Data,B2B Marketing Fit Data,Economic Data,Business Registry Data,Firmographic Data"
ACLED Data,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/acled_b21f195fe1a1462c.png,"News Data,Sports & Entertainment Events Data,Political Data"
Act Analytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/act-analytics_7ed576832efc8fb4.png,"Environmental Data,Economic Data"
